timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1557826919454,0,my unit test,1000,Test successful,Thread Group 1-36,text,true,,0,0,24,24,null,0,0,0
1557826919511,0,my unit test,1000,Test successful,Thread Group 1-75,text,true,,0,0,59,59,null,0,0,0
1557826919513,0,my unit test,1000,Test successful,Thread Group 1-50,text,true,,0,0,57,57,null,0,0,0
1557826919469,0,my unit test,1000,Test successful,Thread Group 1-48,text,true,,0,0,28,28,null,0,0,0
1557826919506,0,my unit test,1000,Test successful,Thread Group 1-72,text,true,,0,0,58,58,null,0,0,0
1557826919504,0,my unit test,1000,Test successful,Thread Group 1-64,text,true,,0,0,57,57,null,0,0,0
1557826919516,0,my unit test,1000,Test successful,Thread Group 1-38,text,true,,0,0,54,54,null,0,0,0
1557826919527,0,my unit test,1000,Test successful,Thread Group 1-10,text,true,,0,0,54,54,null,0,0,0
1557826919532,0,my unit test,1000,Test successful,Thread Group 1-86,text,true,,0,0,55,55,null,0,0,0
1557826919531,0,my unit test,1000,Test successful,Thread Group 1-68,text,true,,0,0,54,54,null,0,0,0
1557826919499,0,my unit test,1000,Test successful,Thread Group 1-69,text,true,,0,0,55,55,null,0,0,0
1557826919403,0,my unit test,1000,Test successful,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1557826919535,0,my unit test,1000,Test successful,Thread Group 1-77,text,true,,0,0,52,52,null,0,0,0
1557826919536,0,my unit test,1000,Test successful,Thread Group 1-79,text,true,,0,0,52,52,null,0,0,0
1557826919411,1,my unit test,1000,Test successful,Thread Group 1-30,text,true,,0,0,2,2,null,0,0,0
1557826919503,0,my unit test,1000,Test successful,Thread Group 1-47,text,true,,0,0,57,57,null,0,0,0
1557826919498,0,my unit test,1000,Test successful,Thread Group 1-71,text,true,,0,0,54,54,null,0,0,0
1557826919414,1,my unit test,1000,Test successful,Thread Group 1-24,text,true,,0,0,3,3,null,0,0,0
1557826919420,0,my unit test,1000,Test successful,Thread Group 1-29,text,true,,0,0,5,5,null,0,0,0
1557826919495,0,my unit test,1000,Test successful,Thread Group 1-66,text,true,,0,0,53,53,null,0,0,0
1557826919421,0,my unit test,1000,Test successful,Thread Group 1-32,text,true,,0,0,6,6,null,0,0,0
1557826919495,0,my unit test,1000,Test successful,Thread Group 1-62,text,true,,0,0,51,51,null,0,0,0
1557826919422,0,my unit test,1000,Test successful,Thread Group 1-6,text,true,,0,0,7,7,null,0,0,0
1557826919494,0,my unit test,1000,Test successful,Thread Group 1-16,text,true,,0,0,50,50,null,0,0,0
1557826919423,0,my unit test,1000,Test successful,Thread Group 1-8,text,true,,0,0,8,8,null,0,0,0
1557826919494,0,my unit test,1000,Test successful,Thread Group 1-52,text,true,,0,0,49,49,null,0,0,0
